"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US05131","Sebastian County, Arkansas","122823","1256","31899","2160","1800","706","1774","790","7355","1502","6190","1244","7987","1211","6118","1414","675","301","90924","1665"
"0500000US05143","Washington County, Arkansas","222799","953","67972","3265","3742","1321","3888","1053","11726","1679","12526","1517","11123","993","20826","2691","4141","1174","154827","3261"
"0500000US05145","White County, Arkansas","75722","672","20206","1116","919","510","765","490","4508","907","3893","1099","3851","533","5409","951","861","442","55516","1082"
"0500000US06001","Alameda County, California","1609612","2230","410379","5773","29996","2374","20175","2359","74193","2951","76718","3448","72991","2335","103635","4423","32671","3314","1199233","5609"
"0500000US06007","Butte County, California","221940","1068","66232","2715","3382","1017","3111","923","11357","1304","8616","1323","9542","989","27013","2714","3211","1094","155708","2948"
"0500000US06013","Contra Costa County, California","1111820","2276","303823","5560","19686","2224","14347","1445","56150","2956","64052","3215","64262","2279","72807","4322","12519","1724","807997","5499"
"0500000US06017","El Dorado County, California","184086","819","42414","1754","2627","1169","1831","618","8314","1395","8483","1271","11708","1375","7966","1381","1485","578","141672","1663"
"0500000US06019","Fresno County, California","945650","2178","292068","5189","16255","2361","18712","2291","59867","3154","66266","3069","61269","2546","60498","3645","9201","1659","653582","5127"
"0500000US06023","Humboldt County, California","131589","752","32756","1914","1893","807","1802","822","4942","1105","5848","1104","5086","761","12705","1607","480","247","98833","2035"
"0500000US06025","Imperial County, California","172861","1119","55501","2460","3317","1183","3528","1175","11025","1829","11560","1664","13255","1235","11547","2053","1269","836","117360","2280"
"0500000US06029","Kern County, California","851029","2467","261365","5214","9763","1666","16108","2245","59900","3176","56233","3819","61765","3737","51028","4225","6568","1341","589664","5815"
"0500000US06031","Kings County, California","142909","866","42218","2104","1249","480","2171","746","8575","1276","10011","1313","10935","1060","8554","1560","723","404","100691","1954"
"0500000US06033","Lake County, California","62317","457","13194","1031","347","291","1443","699","2981","668","3223","1023","3081","575","2044","713","75","96","49123","872"
"0500000US06037","Los Angeles County, California","9798786","5719","2639931","18312","155211","6230","131286","5921","453636","8979","496214","9664","524496","7283","735780","13201","143308","7181","7158855","18136"
"0500000US06039","Madera County, California","149916","871","46062","2090","2052","917","2450","889","9996","1432","10857","1911","11960","1116","8096","1737","651","549","103854","1974"
"0500000US06041","Marin County, California","254264","755","59125","1896","5105","895","3498","1180","12553","1157","11641","1583","13400","1192","10219","1470","2709","837","195139","1755"
"0500000US06045","Mendocino County, California","84813","657","19477","1224","994","476","841","396","4166","710","4941","883","4003","566","3956","912","576","403","65336","1395"
"0500000US06047","Merced County, California","260778","955","90516","3136","6032","1027","4347","1272","17657","1746","18015","1814","19302","1430","22557","2181","2606","962","170262","3086"
"0500000US06053","Monterey County, California","418892","1556","125848","3655","6800","1260","7868","1446","23632","1993","26537","1972","27167","1766","28795","2617","5049","1302","293044","3772"
"0500000US06055","Napa County, California","137022","710","33990","1730","1720","487","1291","470","6157","868","7400","949","7576","719","8509","1504","1337","647","103032","1909"
"0500000US06057","Nevada County, California","97198","505","17876","1429","1038","436","1049","399","3736","609","3784","730","4366","579","3200","951","703","446","79322","1448"
"0500000US06059","Orange County, California","3082913","3568","858030","10564","52565","3809","37240","2785","146223","5063","163554","5121","172741","3679","238208","8680","47499","4176","2224883","10970"
"0500000US06061","Placer County, California","374999","1104","94413","2414","6809","1196","5439","1162","20144","1663","19656","2111","20146","1227","19213","2114","3006","786","280586","2523"
"0500000US06065","Riverside County, California","2330040","2968","673289","7612","28301","2941","34613","3225","133524","5433","141484","4375","152490","4834","155833","6057","27044","3326","1656751","7925"
"0500000US06067","Sacramento County, California","1473384","2746","395688","6810","21408","2455","21665","2371","79940","3678","80603","4458","80685","3103","91645","4885","19742","2903","1077696","6944"
"0500000US06071","San Bernardino County, California","2066841","3562","628316","8579","29886","2978","28493","2824","123544","5395","132420","4894","136199","3651","147775","6767","29999","3847","1438525","8778"
"0500000US06073","San Diego County, California","3214232","4110","877730","11494","53379","3812","43812","3898","143761","4818","166629","5122","166409","4405","248854","10124","54886","4586","2336502","12057"
"0500000US06075","San Francisco County, California","858658","1688","157580","5180","12002","1622","6618","1174","22827","2022","23057","2081","24617","1759","47449","3708","21010","2960","701078","4837"
"0500000US06077","San Joaquin County, California","715868","1786","207721","3948","10598","1962","12696","1736","45589","2982","45633","3074","48909","2343","38842","3421","5454","1179","508147","3919"
"0500000US06079","San Luis Obispo County, California","276318","975","77950","3405","3922","1082","2701","844","12621","1322","11161","1529","11130","1580","34035","2889","2380","881","198368","3365"
"0500000US06081","San Mateo County, California","746061","1372","182818","3629","13954","1490","11818","1515","35627","2359","35063","2713","34868","1678","39198","2791","12290","1759","563243","3466"
"0500000US06083","Santa Barbara County, California","430787","1535","136935","3595","5973","1281","6009","1187","23399","2341","20085","2239","24013","1733","51433","3320","6023","1418","293852","3450"
"0500000US06085","Santa Clara County, California","1870581","3164","505722","6852","36531","2793","25160","3031","89094","3770","98604","3837","97446","3256","123362","5130","35525","2534","1364859","7125"
"0500000US06087","Santa Cruz County, California","268458","1213","84565","2723","3463","1005","3318","1202","10774","1272","14764","1493","12805","1281","33816","2569","5625","1164","183893","2748"
"0500000US06089","Shasta County, California","172955","768","40249","1882","1958","714","2119","830","7184","938","8662","995","10182","1204","8371","1447","1773","722","132706","1888"
"0500000US06095","Solano County, California","429721","1245","109641","3418","5376","1294","5994","1202","21368","1464","22361","1792","22880","1321","27105","2718","4557","883","320080","3139"
"0500000US06097","Sonoma County, California","489522","1338","117540","3434","7066","1308","6954","1349","21913","1912","22160","1926","23682","1756","30699","2919","5066","1257","371982","3322"
"0500000US06099","Stanislaus County, California","525466","1720","152819","3319","8988","1278","7274","1223","34201","2557","32409","2417","34563","2068","32467","3363","2917","846","372647","3666"
"0500000US06101","Sutter County, California","93438","801","25901","1240","1691","724","1440","556","4680","1028","6264","951","5819","785","5500","1132","507","337","67537","1288"
"0500000US06107","Tulare County, California","442232","1728","137455","3847","4615","874","8814","1728","30436","2338","32678","2244","33142","2110","25161","3079","2609","1000","304777","3929"
"0500000US06111","Ventura County, California","823059","2187","225028","3572","14518","1739","9291","1786","40918","2835","48158","3184","49789","2372","54624","2932","7730","1208","598031","3752"
"0500000US06113","Yolo County, California","211262","861","81973","2568","2803","762","3215","963","9097","1045","11645","1434","10659","1256","38699","2512","5855","1458","129289","2323"
"0500000US06115","Yuba County, California","73339","691","20496","1496","1030","503","996","487","5222","917","4488","850","3489","462","4610","952","661","364","52843","1447"
"0500000US08001","Adams County, Colorado","481170","1536","130154","3170","6709","1224","7070","1482","32675","2410","28952","2527","32816","2471","17705","2288","4227","772","351016","3094"
"0500000US08005","Arapahoe County, Colorado","619181","1572","159907","3535","10691","1531","7358","1475","31792","1899","36913","2106","36080","1620","26088","2784","10985","1585","459274","3183"
"0500000US08013","Boulder County, Colorado","314162","826","100205","2725","5381","842","4200","801","14992","1249","14016","1330","14813","1122","38504","2578","8299","1429","213957","2615"
"0500000US08014","Broomfield County, Colorado","66736","495","17973","1098","1450","412","780","361","3319","572","4752","799","4062","543","2709","962","901","328","48763","1061"
"0500000US08031","Denver County, Colorado","678332","1694","158035","4399","10518","1427","8075","1382","31410","2630","29052","2319","27298","1876","37350","3116","14332","2138","520297","4536"
"0500000US08035","Douglas County, Colorado","324148","1071","93199","2156","6297","1142","4763","1010","16725","1796","24350","1838","23818","1432","13143","1613","4103","795","230949","2152"
"0500000US08041","El Paso County, Colorado","670451","2016","185063","4208","10204","1803","9035","1178","36603","2545","40181","2467","36004","1455","44228","3453","8808","1478","485388","4328"
"0500000US08059","Jefferson County, Colorado","556328","1097","129694","2721","8751","1215","6274","1102","24737","2033","26977","1956","29143","1551","26527","2116","7285","1218","426634","2915"
"0500000US08069","Larimer County, Colorado","332109","1167","93442","3764","3988","974","4208","1156","16040","1622","14171","1756","15931","1566","32015","3305","7089","1354","238667","3675"
"0500000US08077","Mesa County, Colorado","146171","630","37270","2262","2274","810","1978","704","6684","1147","7641","1154","7889","1014","9869","1860","935","493","108901","2089"
"0500000US08101","Pueblo County, Colorado","160899","778","40321","1783","2012","698","2117","555","8780","1082","8809","928","8696","947","8370","1392","1537","555","120578","1913"
"0500000US08123","Weld County, Colorado","292942","1314","82656","2029","6067","1255","5227","1121","19585","1885","16695","1979","14579","1252","17433","1580","3070","728","210286","2296"
"0500000US09001","Fairfield County, Connecticut","918076","1777","252401","4711","15577","1858","11820","1779","47766","2813","51470","2732","56451","2167","53487","3245","15830","2411","665675","4406"
"0500000US09003","Hartford County, Connecticut","868685","1544","218141","4709","13597","1558","9069","1694","39163","2411","45054","2542","48353","2160","50019","3709","12886","2258","650544","4359"
"0500000US09005","Litchfield County, Connecticut","178230","697","36265","1661","2466","634","1498","480","7343","1034","7763","1033","9047","920","6881","1434","1267","533","141965","1696"
"0500000US09007","Middlesex County, Connecticut","159438","797","37046","1835","2655","952","945","453","5465","963","8867","1474","7643","860","9769","1439","1702","554","122392","1648"
"0500000US09009","New Haven County, Connecticut","833258","1737","216383","4932","12494","1639","7895","1725","39103","2828","39791","2980","47664","2000","52220","3817","17216","2469","616875","5024"
