"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US18109","Morgan County, Indiana","69698","*****"
"0500000US18127","Porter County, Indiana","167791","*****"
"0500000US18141","St. Joseph County, Indiana","269141","*****"
"0500000US18157","Tippecanoe County, Indiana","188059","*****"
"0500000US18163","Vanderburgh County, Indiana","181721","*****"
"0500000US18167","Vigo County, Indiana","107931","*****"
"0500000US18177","Wayne County, Indiana","66568","*****"
"0500000US19013","Black Hawk County, Iowa","132904","*****"
"0500000US19049","Dallas County, Iowa","84516","*****"
"0500000US19061","Dubuque County, Iowa","97003","*****"
"0500000US19103","Johnson County, Iowa","146547","*****"
"0500000US19113","Linn County, Iowa","221661","*****"
"0500000US19153","Polk County, Iowa","474045","*****"
"0500000US19155","Pottawattamie County, Iowa","93582","*****"
"0500000US19163","Scott County, Iowa","172474","*****"
"0500000US19169","Story County, Iowa","97090","*****"
"0500000US19193","Woodbury County, Iowa","102779","*****"
"0500000US20015","Butler County, Kansas","67025","*****"
"0500000US20045","Douglas County, Kansas","119440","*****"
"0500000US20091","Johnson County, Kansas","584451","*****"
"0500000US20103","Leavenworth County, Kansas","80204","*****"
"0500000US20161","Riley County, Kansas","73343","*****"
"0500000US20173","Sedgwick County, Kansas","511995","*****"
"0500000US20177","Shawnee County, Kansas","178146","*****"
"0500000US20209","Wyandotte County, Kansas","163831","*****"
"0500000US21015","Boone County, Kentucky","128536","*****"
"0500000US21029","Bullitt County, Kentucky","79151","*****"
"0500000US21037","Campbell County, Kentucky","92211","*****"
"0500000US21047","Christian County, Kentucky","72351","*****"
"0500000US21059","Daviess County, Kentucky","99674","*****"
"0500000US21067","Fayette County, Kentucky","318449","*****"
"0500000US21093","Hardin County, Kentucky","107316","*****"
"0500000US21111","Jefferson County, Kentucky","765352","*****"
"0500000US21117","Kenton County, Kentucky","164945","*****"
"0500000US21145","McCracken County, Kentucky","65162","*****"
"0500000US21151","Madison County, Kentucky","89547","*****"
"0500000US21185","Oldham County, Kentucky","65560","*****"
"0500000US21227","Warren County, Kentucky","125532","*****"
"0500000US22005","Ascension Parish, Louisiana","121587","*****"
"0500000US22015","Bossier Parish, Louisiana","126057","*****"
"0500000US22017","Caddo Parish, Louisiana","248851","*****"
"0500000US22019","Calcasieu Parish, Louisiana","200601","*****"
"0500000US22033","East Baton Rouge Parish, Louisiana","447037","*****"
"0500000US22045","Iberia Parish, Louisiana","73273","*****"
"0500000US22051","Jefferson Parish, Louisiana","436523","*****"
"0500000US22055","Lafayette Parish, Louisiana","241398","*****"
"0500000US22057","Lafourche Parish, Louisiana","98305","*****"
"0500000US22063","Livingston Parish, Louisiana","140138","*****"
"0500000US22071","Orleans Parish, Louisiana","391495","*****"
"0500000US22073","Ouachita Parish, Louisiana","156983","*****"
"0500000US22079","Rapides Parish, Louisiana","132424","*****"
"0500000US22097","St. Landry Parish, Louisiana","83883","*****"
"0500000US22103","St. Tammany Parish, Louisiana","253602","*****"
"0500000US22105","Tangipahoa Parish, Louisiana","130710","*****"
"0500000US22109","Terrebonne Parish, Louisiana","113220","*****"
"0500000US23001","Androscoggin County, Maine","107319","*****"
"0500000US23003","Aroostook County, Maine","67959","*****"
"0500000US23005","Cumberland County, Maine","292041","*****"
"0500000US23011","Kennebec County, Maine","120569","*****"
"0500000US23019","Penobscot County, Maine","151806","*****"
"0500000US23031","York County, Maine","202343","*****"
"0500000US24001","Allegany County, Maryland","72130","*****"
"0500000US24003","Anne Arundel County, Maryland","568346","*****"
"0500000US24005","Baltimore County, Maryland","831026","*****"
"0500000US24009","Calvert County, Maryland","91251","*****"
"0500000US24013","Carroll County, Maryland","167656","*****"
"0500000US24015","Cecil County, Maryland","102603","*****"
"0500000US24017","Charles County, Maryland","157705","*****"
"0500000US24021","Frederick County, Maryland","247591","*****"
"0500000US24025","Harford County, Maryland","251032","*****"
"0500000US24027","Howard County, Maryland","317233","*****"
"0500000US24031","Montgomery County, Maryland","1043863","*****"
"0500000US24033","Prince George's County, Maryland","908049","*****"
"0500000US24037","St. Mary's County, Maryland","112587","*****"
"0500000US24043","Washington County, Maryland","150292","*****"
"0500000US24045","Wicomico County, Maryland","102577","*****"
"0500000US24510","Baltimore city, Maryland","614664","*****"
"0500000US25001","Barnstable County, Massachusetts","214276","*****"
"0500000US25003","Berkshire County, Massachusetts","126903","*****"
"0500000US25005","Bristol County, Massachusetts","558324","*****"
"0500000US25009","Essex County, Massachusetts","779018","*****"
"0500000US25011","Franklin County, Massachusetts","70382","*****"
"0500000US25013","Hampden County, Massachusetts","468467","*****"
"0500000US25015","Hampshire County, Massachusetts","161816","*****"
"0500000US25017","Middlesex County, Massachusetts","1589774","*****"
"0500000US25021","Norfolk County, Massachusetts","697181","*****"
"0500000US25023","Plymouth County, Massachusetts","513565","*****"
"0500000US25025","Suffolk County, Massachusetts","784230","*****"
"0500000US25027","Worcester County, Massachusetts","819589","*****"
"0500000US26005","Allegan County, Michigan","115548","*****"
"0500000US26017","Bay County, Michigan","104747","*****"
"0500000US26021","Berrien County, Michigan","154010","*****"
